poi_name,poi_id,source_url,official_description,extra_attrs,matched,method
Careless Reef,padi:22599,https://www.padi.com/dive-site/egypt/careless-reef/,"Careless Reef is a renowned dive site located near Ras Mohammed, offering an exciting mix of dramatic walls, vibrant coral gardens, and abundant marine life. The site is named for its steep drop-offs and occasionally tricky currents, making it best suited for intermediate to advanced divers. The reef itself is rich in biodiversity, with thriving hard and soft corals, schools of parrotfish, snappers, and large pelagic species like barracudas and jacks often spotted around the reef&#x27;s edges. Divers can explore the vertical walls and deep crevices, where eagle rays, moray eels, and occasionally reef sharks can be seen. With its impressive visibility and variety of marine life, Careless Reef offers an exhilarating dive for those seeking an underwater adventure in the Red Sea’s vibrant marine ecosystem.","{""dive_types"": ""Pinnacle, Reef, Wall, Ocean"", ""common_sightings"": ""Batfish, Butterflyfish, Pipefish, Tuna, Barracuda, Snapper, Napoleon fish, Clownfish, Grouper, Parrotfish, Goatfish, Whitetip reef shark, Blacktip reef shark, Nurse sharks, Tiger shark, Grey Sharks, Rays, Reef fish ( Scorpionfish, boxfish,puffer fish, surgeonfish, angelfish, bannerfish, triggerfish, parrotfish, trumpetfish, pipefish, clown fish, sweetlips, snaper, grouper, lionfish etc)""}",false,api
El Gilwa,padi:22600,https://www.padi.com/dive-site/egypt/el-gilwa/,"Dive into a captivating underwater realm where the gentle to moderate current flows in from the east, creating the perfect conditions for exhilarating drift dives. Nestled within this beautiful lagoon, you’ll find a sheltered haven, ideal for Open Water courses, where novices can safely explore the wonders of the ocean. Surrounding the lagoon, a collection of stunning coral blocks and pinnacles rise gracefully from the seabed, inviting you to discover their vibrant ecosystems at shallow depths. Here, smaller coral formations are interspersed with sandy patches, providing a picturesque backdrop for your underwater adventures. As you glide through this enchanting setting, keep your eyes peeled for the diverse marine life that calls this place home. Each dive promises a unique experience in this serene, beautiful environment.","{""dive_types"": ""Drift, Pinnacle, Reef, Wall, Ocean"", ""common_sightings"": ""Boxfish / pufferfish, Parrot fish, Surgeonfish, Triggerfish, Bannerfish, Batfish, Angelfish, Goatfish, Scorpionfish, Snapper, Sweetlips, Trumpetfish / pipefish, Parrotfish, Tuna, Pipefish, Butterflyfish, Grouper, Jackfish, Pelagic Fish, Fish, Barracuda, Napoleon fish, Clownfish, Lionfish, Stonefish, Eagle ray, Rays, Sting ray, Dolphins, Hawksbill turtle, Sea cucumber, Whitemouth moray, Honeycomb moray, Giant moray, Moray eel, Sea urchin, Starfish, Shrimp, Crab, Squid, Octopus, Clam, Nudibranch, Brain coral, Coral, Gorgonian fan, Sea anemone""}",false,api
Pro Master - House Reef,padi:22601,https://www.padi.com/dive-site/egypt/pro-master-house-reef/,"The dive site features a sandy beach entrance that provides easy access to the water, making it ideal for divers of all experience levels. As you enter, you’ll notice an abundance of baby corals spread out on both sides, creating a lively underwater scene that’s perfect for observing marine life up close. At a depth of 19 meters, an old wooden boat wreck rests prominently on the seabed, positioned conveniently in front of the dive center. This wreck serves as a key feature for training and exploration, offering a structured environment for practicing skills during check dives or courses. Its location makes it a convenient and reliable option for instructors and students alike, whether you&#x27;re completing a beginner certification or advancing to more specialized training. The combination of the shallow coral area and the wreck creates a versatile setting that caters to different types of dives while maintaining accessibility and simplicity for all divers. see you soon :)","{""dive_types"": ""Wreck, Beach, Reef, Sandy bottom"", ""common_sightings"": ""Parrotfish""}",false,api
House Reef - Gorgonia,padi:22639,https://www.padi.com/dive-site/egypt/house-reef-gorgonia/,"It is possible to dive into the site via the jetty, by taking the giant&#x27;s step or via ladders. Depending on the current, it is possible to dive north or south, keeping close to the wall to admire the beauty this site has to offer. A maximum depth of 30 meters is recommended and plan carefully for greater depths. An excellent dive site for those who have recently started diving and want to practice on themselves. According to local regulations, a surface marker buoy and a dive computer are mandatory. At 18:00 in the evening it is forbidden to dive as it is closed; it is advisable to schedule dives with the local PADI Diving Center for night dives.","{""dive_types"": ""Drift, Reef, Sandy bottom, Wall"", ""common_sightings"": ""Clownfish, Scorpionfish, Lionfish, Barracuda, Parrotfish, Whitetip reef shark, Moray eel, Octopus, Coral, Gorgonian fan, Brain coral, Reef Fish, Sea anemone, Jellyfish, Stinger Ray, , Spanish dancer, Crocodile Fish, Dugong""}",false,api
Umm Gamar,padi:22671,https://www.padi.com/dive-site/egypt/umm-gamar/,"Umm Gamar is also referred to as Umm Gamaar. It means ‘ Mother of the Moon’, allegedly alluding to the crescent shaped wedge of the island. Umm Gamar, surrounded by coral, is approximately 80 minutes sailing from El Gouna to the east and located in open sea. Therefore experience is required for the dramatic deep wall, vertically plungung into deep blue. Descending here is sheer delightful. The moorings are situated over the south plateau. The east side comprosis a stunningly deep wall. It is accentuated by formations of coral of the soft kind. They reach out towards the blue. Photographers won’t be able to ignore the first two formations, perforated with cracks, attracting busy fish life. The next formation features a cavern with a sandy ledgeat its base at around 27 meters.","{""dive_types"": ""Cave, Drift, Reef"", ""common_sightings"": ""Barracuda, Stonefish, Napoleon fish, Clownfish, Grouper, Boxfish / pufferfish, Scorpionfish, Lionfish, Triggerfish, Butterflyfish, Parrot fish""}",false,api
Malahi Dive Site,padi:22765,https://www.padi.com/dive-site/egypt/malahi-dive-site/,"Malahi is one of the most exciting dive sites in Marsa Alam, located within the Sataya Reef system in the Red Sea, Egypt. Known for its maze-like coral canyons and towering reef pinnacles, Malahi offers an unforgettable underwater playground for divers of all levels. The site is rich in marine biodiversity, featuring colorful reef fish such as butterflyfish, angelfish, and parrotfish, as well as larger species like barracuda, trevally, and giant groupers. Swim-throughs filled with light and shadow create perfect conditions for underwater photography. Diving at Malahi with Blue Ocean Dive Centers &amp; Resorts Marsa Alam ensures a safe and professionally guided experience, led by multilingual instructors who know the site inside out. Whether you&#x27;re an adventurous beginner or a seasoned diver, Malahi delivers a truly magical Red Sea dive. Explore it with Blue Ocean Dive Centers &amp; Resorts Marsa Alam, your trusted gateway to Egypt’s best dive sites.","{""dive_types"": ""Drift, Reef, Wall, Cavern, Ocean"", ""common_sightings"": ""Angelfish, Parrotfish, Trumpetfish / pipefish, Barracuda, Octopus, Squid, Brain coral, Gorgonian, Soft Corals, Anthias, Green sea turtles, Trevally, Cuttlefish, Stingrays, Table Coral""}",false,api
Um Halhala Divesite,padi:22766,https://www.padi.com/dive-site/egypt/um-halhala-divesite/,"Um Halhala is a hidden gem among the dive sites of Marsa Alam, located in the pristine waters of the Red Sea, Egypt. Known for its peaceful ambiance and untouched coral formations, Um Halhala offers an ideal dive for those seeking calm conditions and rich biodiversity. Divers can explore vibrant reefs teeming with butterflyfish, angelfish, parrotfish, and anthias, while encounters with groupers, trevally, and barracuda add excitement to the dive. Blue-spotted stingrays, moray eels, and octopus are commonly found hiding among the coral structures. The site’s colorful hard and soft corals create a breathtaking underwater landscape, perfect for underwater photography. With Blue Ocean Dive Centers &amp; Resorts Marsa Alam, divers enjoy safe and expertly guided tours led by experienced instructors. Discover the untouched beauty of Um Halhala with Blue Ocean, your trusted partner for unforgettable diving adventures in Marsa Alam, Red Sea, Egypt.","{""dive_types"": ""Drift, Reef, Ocean"", ""common_sightings"": ""Barracuda, Parrotfish, Trumpetfish / pipefish, Angelfish, Triggerfish, Butterflyfish, Clownfish, Octopus, Wrasses, Cuttlefish, Stingrays, Nudibranchs, Sea fans, Cleaner shrimp, Hard Corals, Soft Corals, Groupers, Feather Star, Crinoids, Moray Eels, Turtles, snappers, Anthias, Trevally""}",false,api
Gamul Kebir,padi:22900,https://www.padi.com/dive-site/egypt/gamul-kebir/,"Gamul Kebir, also known as Gamul Kabir or Gamul Al Kabeir, is a renowned dive site situated approximately 30 minutes by boat from Safaga, Egypt, in the Red Sea. This site is celebrated for its vibrant marine biodiversity and crystal-clear waters, offering exceptional visibility that makes it a paradise for divers of all levels . Dive Site Overview Depth: The reef rises from a depth of about 15 meters (approximately 50 feet), encircling a lagoon that opens to the west . Structure: The main reef forms a circular formation, with three pinnacles extending to the north. These structures are adorned with soft corals and seagrass beds, providing habitats for a diverse range of marine life . Marine Life: Divers can expect to encounter large schools of barracuda, big-eyed emperor fish, snappers, eagle rays, white-tip reef sharks, and occasionally dugongs. The seagrass areas are home to unique species like sea moths and bluespotted stingrays .","{""dive_types"": ""Drift, Reef, Sandy bottom"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Sheer Soraya,padi:22901,https://www.padi.com/dive-site/egypt/shaab-sheer-soraya/,"Shaab Sheer Soraya is a captivating dive site situated approximately 800 meters south of the main Shaab Sheer reef in the Safaga region of Egypt&#x27;s Red Sea. This compact, round-shaped reef reaches a maximum depth of about 18 meters, making it an excellent choice for beginner to intermediate divers seeking a relaxed and visually engaging experience . Dive Site Features Topography: The reef is predominantly composed of hard corals, interspersed with numerous small caves and grottos. These structures create enchanting light effects and provide shelter for various marine species Marine Life: Divers can expect to encounter a diverse array of marine life, including scorpionfish, moray eels, nudibranchs, pufferfish, porcupinefish, and blue-spotted stingrays. Schools of fusiliers and bannerfish are also commonly observed in the area .","{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Marsa Umm Gerifat,padi:24156,https://www.padi.com/dive-site/egypt/marsa-umm-gerifat/,"Marsa Umm Gerifat serves as the northern house reef for Coraya Divers and is easily accessible via a short, scenic zodiac trip. This sheltered location remains well-protected from the strong currents and high waves of the open sea, ensuring excellent diving conditions all year round. Early risers may be lucky enough to encounter dolphins, and lucky visitors might even spot manta rays or a dugong entering the bay. The reef is home to beautiful hard and soft corals, numerous turtles, colorful reef fish, and a fascinating variety of macro life.","{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Scorpionfish, Pipefish, Sea turtle, Dolphins, Moray eel, Nudibranch, Reef fish ( Scorpionfish, boxfish,puffer fish, surgeonfish, angelfish, bannerfish, triggerfish, parrotfish, trumpetfish, pipefish, clown fish, sweetlips, snaper, grouper, lionfish etc), Stingray, Soft Coral, Cleaner shrimp, Hard coral""}",false,api
Marsa Umm Gerifat South,padi:24157,https://www.padi.com/dive-site/egypt/marsa-umm-gerifat-south/,"Marsa Umm Gerifat South, the renowned house reef for Coraya Divers, offers a world-class shore diving experience in Marsa Alam. This sheltered bay features a stunning sloping reef wall that drops into the vibrant blue. Divers and snorkelers will encounter pristine hard and soft coral gardens teeming with life, including clownfish, blue-spotted rays, and hawksbill turtles. The site is famous for frequent sightings of eagle rays and the occasional dugong. With easy entry points and exceptional visibility, it’s a tranquil paradise perfect for both beginner courses and relaxed dives.","{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Parrotfish, Barracuda, Clownfish, Butterflyfish, Triggerfish, Boxfish / pufferfish, Sting ray, Hawksbill turtle, Dolphins, Moray eel, Squid, Octopus, Shrimp, Green Turtle, Nudibranchs!, Wrasse, Squirrelfish""}",false,api
Palace House Reef,padi:24182,https://www.padi.com/dive-site/egypt/palace-house-riff/,"Our beautiful house reef is teeming with diverse fish life at various depths. You have six different diving options at our house reef. There&#x27;s a gentle current and two jetties. Our team will bring your diving equipment to the jetty, and you can start diving right away.","{""dive_types"": ""Beach, Drift, Pinnacle, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Rays, Dolphins, Wide range of reef fish, crocodile fish""}",false,api
Shaab El Erg,padi:24336,https://www.padi.com/dive-site/egypt/shaab-el-erg-2/,"Shaab El Erg is one of the most beloved dive sites in the Northern Red Sea, famous worldwide as the &quot;Dolphin House.&quot; This massive, horseshoe-shaped reef stretches over several kilometers, creating a calm, turquoise lagoon that serves as a natural sanctuary for a resident pod of wild Indo-Pacific bottlenose dolphins. With its shallow depths and crystal-clear visibility, Shaab El Erg is a paradise for underwater photographers and divers of all levels. It provides the perfect balance of easy, relaxing conditions and the heart-pounding excitement of meeting the ocean’s most charismatic residents in the wild.","{""dive_types"": ""Pinnacle, Pool, Reef, Sandy bottom"", ""common_sightings"": ""Grouper, Sea turtle, Eagle rays, Indo pacific bottlenose dolphin, blue spotted Stingray""}",false,api
Jackson Reef,padi:24899,https://www.padi.com/dive-site/saudi-arabia/jackson-reef/,"Jackson Reef, the northernmost of the four main reefs in the Straits of Tiran (10 km northeast of Sharm El Sheikh, Egypt), is a world-renowned dive site famous for fast drift dives, vibrant coral walls, and big pelagic encounters. Depth: 5–40 m (walls drop to 100+ m) Current: Moderate–strong (1–4 knots; drift only) Visibility: 25–35 m Water Temp: 22–28°C Best Season: Aug–Oct (hammerheads); year-round for coral &amp; reef life Type: Vertical wall, drift, coral garden, wreck (Lara) An oval-shaped reef ~1 km from Tiran Island, it features two iconic dives. The southwest “Aquarium” is a sheltered slope with dense soft corals, sea fans, and anthias—perfect for macro and safety stops. The east “Jackson Drift” is a high-speed wall dive along sheer cliffs covered in hard/soft corals, with strong currents attracting pelagics. The Lara Wreck (1985, 20–30 m) lies on the north side, encrusted with corals and home to reef fish.","{""dive_types"": ""Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Try Dive,padi:25041,https://www.padi.com/dive-site/egypt/try-dive/,"The Try Dive Hurghada experience with Red Sea Life is the fastest and easiest way to discover scuba diving for the first time in Hurghada, Egypt. This beginner friendly activity allows you to breathe underwater in a safe swimming pool environment, making it the perfect introduction to the world of diving. It is also a great choice for anyone searching for scuba diving hurghada, hurghada diving, diving hurghada, scuba diving Egypt, snorkeling hurghada, and red sea diving. With Red Sea Life, your first underwater experience starts with a professional diving center, trusted diving club, and PADI guidance in Hurghada. If you are looking for a reliable hurghada diving center, scuba store hurghada, or diving center to try scuba diving for the first time, Try Dive Hurghada is the perfect start.","{""dive_types"": ""Pool"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Desert Rose Resort House Reef,padi:25042,https://www.padi.com/dive-site/egypt/desert-rose-resort-house-reef/,"The Beach Dive Hurghada experience with Red Sea Life offers a fast, convenient, and professionally guided way to explore the Red Sea in Hurghada, Egypt directly from the shore. Located at Desert Rose Resort, this shore dive allows you to access vibrant coral reefs and marine life without the need for a boat. This experience is perfect for certified divers searching for scuba diving hurghada, hurghada diving, diving hurghada, red sea diving, scuba diving egypt, and a professional diving center in Hurghada. Designed for certified divers, this experience delivers a 60 minute underwater adventure filled with colorful reefs, tropical fish, and excellent visibility. With Red Sea Life, you enjoy a trusted diving center, professional diving club, experienced hurghada diving center, reliable scuba store hurghada support, and PADI guided service for safe and enjoyable shore diving in Hurghada.","{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Clownfish, Turtle, Octopus, Reef fish ( Scorpionfish, boxfish,puffer fish, surgeonfish, angelfish, bannerfish, triggerfish, parrotfish, trumpetfish, pipefish, clown fish, sweetlips, snaper, grouper, lionfish etc), Gitarshark, BLUESPOTTED RAY""}",false,api
